Index,Date-Time,Production,SSI,SSIRPrime,SWR,SWRRPrime,
90,12/03/2021 9:00,1566.310,670.518,679.513,740.375,792.039,
91,12/03/2021 10:00,1921.857,901.897,913.996,886.650,948.522,
92,12/03/2021 11:00,1983.087,982.494,995.675,993.633,1062.971,
93,12/03/2021 12:00,1848.026,1018.686,1032.352,971.308,1039.088,
94,12/03/2021 13:00,1634.902,938.095,950.680,778.933,833.288,
95,12/03/2021 14:00,1269.183,849.598,860.996,510.458,546.079,
96,12/03/2021 15:00,931.771,700.608,710.007,460.800,492.955,
97,13/03/2021 8:00,964.280,472.072,478.406,499.658,534.525,
98,13/03/2021 9:00,1381.910,673.969,683.011,703.783,752.894,
99,13/03/2021 10:00,1667.220,900.401,912.481,835.170,893.449,
100,13/03/2021 11:00,1521.393,984.766,997.977,953.808,1020.366,
101,13/03/2021 12:00,1976.797,1021.247,1034.948,950.742,1017.086,
102,13/03/2021 13:00,1848.679,928.026,940.476,905.667,968.865,
103,13/03/2021 14:00,1531.336,850.918,862.333,566.900,606.459,
104,13/03/2021 15:00,952.915,688.991,698.234,207.008,221.454,
105,14/03/2021 8:00,714.520,475.605,481.985,477.133,510.428,
106,14/03/2021 9:00,1409.503,677.415,686.503,621.058,664.397,
107,14/03/2021 10:00,1814.783,908.542,920.730,873.330,934.272,
108,14/03/2021 11:00,1980.548,988.743,1002.008,980.767,1049.206,
109,14/03/2021 12:00,2087.250,1022.833,1036.555,985.117,1053.860,
110,14/03/2021 13:00,1423.694,899.525,911.592,844.508,903.439,
111,14/03/2021 14:00,629.876,835.380,846.587,630.775,674.791,
112,14/03/2021 15:00,602.736,694.669,703.988,165.875,177.450,
113,15/03/2021 8:00,834.838,479.138,485.566,533.408,570.630,
114,15/03/2021 9:00,1033.872,680.855,689.989,703.167,752.235,
115,15/03/2021 10:00,1816.131,911.851,924.084,860.310,920.344,
116,15/03/2021 11:00,2051.003,991.636,1004.939,973.383,1041.307,
117,15/03/2021 12:00,2282.947,1026.240,1040.008,949.475,1015.731,
118,15/03/2021 13:00,1699.333,953.587,966.380,889.850,951.945,
119,15/03/2021 14:00,804.787,852.109,863.540,424.317,453.926,
120,15/03/2021 15:00,860.472,608.520,616.683,331.750,354.900,
121,16/03/2021 8:00,471.536,482.671,489.146,208.158,222.684,
122,16/03/2021 9:00,920.026,555.847,563.304,484.458,518.265,
